measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Lower respiratory infections,Ambient particulate matter pollution,Rate,1990,5.427415393473194,8.656359167445904,3.2374126701102273
Deaths,Global,Both,All Ages,Other neonatal disorders,Ambient particulate matter pollution,Rate,1990,0.37714135485931194,0.6601018719260809,0.20767988388041997
Deaths,Global,Both,All Ages,Upper respiratory infections,Ambient particulate matter pollution,Rate,1990,0.0005667676755635972,0.0011380416728032868,0.00021114932013241246
Deaths,Global,Both,All Ages,Otitis media,Ambient particulate matter pollution,Rate,1990,0.0002567724367341019,0.0007894483433532682,4.5208277226916185e-05
Deaths,Global,Both,All Ages,Meningitis,Ambient particulate matter pollution,Rate,1990,0.018200366100944523,0.032176566659515855,0.00976997406424312
Deaths,Global,Both,All Ages,Ischemic heart disease,Ambient particulate matter pollution,Rate,1990,11.356891852495046,14.386285973873484,8.414401039346027
Deaths,Global,Both,All Ages,Neonatal preterm birth,Ambient particulate matter pollution,Rate,1990,0.8729513692554767,1.362974967523355,0.5222412948785469
Deaths,Global,Both,All Ages,Neonatal encephalopathy due to birth asphyxia and trauma,Ambient particulate matter pollution,Rate,1990,0.5041537849316227,0.8483506806894735,0.2683089384258044
Deaths,Global,Both,All Ages,Upper respiratory infections,Ambient particulate matter pollution,Rate,1993,0.0004959502046762268,0.0009464172384037126,0.00018111489989084371
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Rate,1990,2.2138276670334696,3.0633661139834456,1.4802423924589854
Deaths,Global,Both,All Ages,Chronic obstructive pulmonary disease,Ambient particulate matter pollution,Rate,1990,6.574655521565888,9.623471459202964,4.116542736394421
Deaths,Global,Both,All Ages,Intracerebral hemorrhage,Ambient particulate matter pollution,Rate,1990,4.350644066358671,6.152736666153185,2.8277175170464894
Deaths,Global,Both,All Ages,Diarrheal diseases,Ambient particulate matter pollution,Rate,1990,0.13672610358040804,0.24958335719832336,0.06996106950147266
Deaths,Global,Both,All Ages,Encephalitis,Ambient particulate matter pollution,Rate,1990,0.0019316730813564097,0.003251993500929115,0.0009792155444620367
Deaths,Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Ambient particulate matter pollution,Rate,1990,0.15174792571735418,0.2681239711232484,0.07932321673446824
Deaths,Global,Both,All Ages,Hemolytic disease and other neonatal jaundice,Ambient particulate matter pollution,Rate,1990,0.085189003928582,0.1654571459275565,0.03914224434857237
Deaths,Global,Both,All Ages,Sudden infant death syndrome,Ambient particulate matter pollution,Rate,1990,0.004624034815903071,0.0120167594033111,0.001896307823935716
Deaths,Global,Both,All Ages,Ischemic stroke,Ambient particulate matter pollution,Rate,1990,4.217081403479303,5.432739358138485,2.9930635667043237
Deaths,Global,Both,All Ages,Subarachnoid hemorrhage,Ambient particulate matter pollution,Rate,1990,0.9284914954689688,1.4401482774501864,0.5348576069754587
Deaths,Global,Both,All Ages,Diarrheal diseases,Ambient particulate matter pollution,Rate,1992,0.12254638193766401,0.22076867829264593,0.06233868331614828
Deaths,Global,Both,All Ages,Intracerebral hemorrhage,Ambient particulate matter pollution,Rate,1993,4.624089932067048,6.352499437411672,3.0762950779092164
Deaths,Global,Both,All Ages,Encephalitis,Ambient particulate matter pollution,Rate,1992,0.0018854886570452958,0.003042919478266741,0.0009780041853817904
Deaths,Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Ambient particulate matter pollution,Rate,1992,0.15064764209858822,0.26136402025951067,0.08000297101764346
Deaths,Global,Both,All Ages,Otitis media,Ambient particulate matter pollution,Rate,1991,0.000250182118602695,0.0007856274446395948,4.0750394345138705e-05
Deaths,Global,Both,All Ages,Diabetes mellitus type 2,Ambient particulate matter pollution,Rate,1990,1.043472411828211,1.4704247386885891,0.6979203411526942
Deaths,Global,Both,All Ages,Hemolytic disease and other neonatal jaundice,Ambient particulate matter pollution,Rate,1992,0.08050486125553118,0.14904944583317278,0.039061004953793235
Deaths,Global,Both,All Ages,Meningitis,Ambient particulate matter pollution,Rate,1991,0.01772233346591696,0.030583045594241118,0.009555375287886409
Deaths,Global,Both,All Ages,Neonatal preterm birth,Ambient particulate matter pollution,Rate,1991,0.8575463557918294,1.330423609152383,0.5246017172070161
Deaths,Global,Both,All Ages,Neonatal encephalopathy due to birth asphyxia and trauma,Ambient particulate matter pollution,Rate,1991,0.49810113391547073,0.8244151258060071,0.26691636770629185
Deaths,Global,Both,All Ages,Chronic obstructive pulmonary disease,Ambient particulate matter pollution,Rate,1994,7.040914479842489,9.970262686224434,4.566905537177768
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Rate,1991,2.241079512941869,3.0744560960378764,1.4959217953497164
Deaths,Global,Both,All Ages,Diabetes mellitus type 2,Ambient particulate matter pollution,Rate,1991,1.0702745800348483,1.4974782502356037,0.7201526682878359
Deaths,Global,Both,All Ages,Ischemic stroke,Ambient particulate matter pollution,Rate,1992,4.295960875529634,5.451978331488363,3.0870032090830426
Deaths,Global,Both,All Ages,Subarachnoid hemorrhage,Ambient particulate matter pollution,Rate,1992,0.963625142381761,1.4363186818707618,0.5688746245414724
Deaths,Global,Both,All Ages,Diarrheal diseases,Ambient particulate matter pollution,Rate,1993,0.1157307979879321,0.20971254091835312,0.05971036197723946
Deaths,Global,Both,All Ages,Otitis media,Ambient particulate matter pollution,Rate,1993,0.00023944744102934903,0.0008043823209905354,3.47006190118324e-05
Deaths,Global,Both,All Ages,Meningitis,Ambient particulate matter pollution,Rate,1993,0.01692227343492713,0.02913708835171652,0.009320157748388394
Deaths,Global,Both,All Ages,Encephalitis,Ambient particulate matter pollution,Rate,1993,0.0018809107862796043,0.0029922750536269128,0.0009931175039212395
Deaths,Global,Both,All Ages,Neonatal preterm birth,Ambient particulate matter pollution,Rate,1993,0.8341451472034159,1.2739877540726765,0.5204090631000029
Deaths,Global,Both,All Ages,Neonatal encephalopathy due to birth asphyxia and trauma,Ambient particulate matter pollution,Rate,1993,0.49235821434502886,0.8094671621825358,0.2715223901947712
Deaths,Global,Both,All Ages,Diarrheal diseases,Ambient particulate matter pollution,Rate,1991,0.1301993455736385,0.23803096843206606,0.06712616884577009
Deaths,Global,Both,All Ages,Sudden infant death syndrome,Ambient particulate matter pollution,Rate,1993,0.004169800386565664,0.010704717305664007,0.0017776136074221678
Deaths,Global,Both,All Ages,Encephalitis,Ambient particulate matter pollution,Rate,1991,0.0019094883874872528,0.003131457510358461,0.0009775735530241651
Deaths,Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Ambient particulate matter pollution,Rate,1993,0.15114932602209713,0.2598896435428023,0.08073450971200634
Deaths,Global,Both,All Ages,Hemolytic disease and other neonatal jaundice,Ambient particulate matter pollution,Rate,1993,0.0784957996000326,0.14330276232100167,0.03890085967896382
Deaths,Global,Both,All Ages,Sudden infant death syndrome,Ambient particulate matter pollution,Rate,1991,0.004451456201982566,0.011483579687134584,0.00186687356909101
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Rate,1993,2.3310469913638308,3.1904844090682865,1.5818082669731177
Deaths,Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Ambient particulate matter pollution,Rate,1991,0.15107301668588055,0.26479187348930683,0.08001742445507307
Deaths,Global,Both,All Ages,Hemolytic disease and other neonatal jaundice,Ambient particulate matter pollution,Rate,1991,0.08252529235984489,0.1568056172883501,0.03905328931709027
Deaths,Global,Both,All Ages,Sudden infant death syndrome,Ambient particulate matter pollution,Rate,1994,0.0040504511169304844,0.010301211358206257,0.0017230279934590577
